JAHR;MONAT;ZAEHLSTELLE;FAHRZEUGKLASSE;ANZAHL
2023;12;6086;Kfz <= 3,5t hzG;21628.0
2023;12;438;Kfz > 3,5t hzG;3321.0
2023;12;788;Kfz;39894.0
2023;12;788;Kfz > 3,5t hzG;4155.0
2023;12;788;Kfz <= 3,5t hzG;35739.0
2023;12;618;Kfz;40886.0
2023;12;618;Kfz > 3,5t hzG;4402.0
2023;12;618;Kfz <= 3,5t hzG;36484.0
2023;12;444;Kfz;36406.0
2023;12;444;Kfz > 3,5t hzG;4343.0
2023;12;444;Kfz <= 3,5t hzG;32063.0
2023;12;446;Kfz;63177.0
2023;12;446;Kfz > 3,5t hzG;5218.0
2023;12;446;Kfz <= 3,5t hzG;57959.0
2023;12;470;Kfz > 3,5t hzG;6253.0
2023;12;350;Kfz;57801.0
2023;12;350;Kfz > 3,5t hzG;6236.0
2023;12;350;Kfz <= 3,5t hzG;51565.0
2023;12;6070;Kfz > 3,5t hzG;5258.0
2023;12;804;Kfz;47620.0
2023;12;804;Kfz > 3,5t hzG;4316.0
2023;12;804;Kfz <= 3,5t hzG;43304.0
2023;12;817;Kfz;36599.0
2023;12;817;Kfz > 3,5t hzG;3784.0
2023;12;817;Kfz <= 3,5t hzG;32815.0
2023;12;463;Kfz;31195.0
2023;12;463;Kfz > 3,5t hzG;3596.0
2023;12;463;Kfz <= 3,5t hzG;27599.0
2023;12;471;Kfz;21497.0
2023;12;471;Kfz > 3,5t hzG;3083.0
2023;12;471;Kfz <= 3,5t hzG;18414.0
2023;12;625;Kfz;56253.0
2023;12;625;Kfz > 3,5t hzG;4810.0
2023;12;625;Kfz <= 3,5t hzG;51443.0
2023;12;269;Kfz;44709.0
2023;12;269;Kfz > 3,5t hzG;4301.0
2023;12;269;Kfz <= 3,5t hzG;40408.0
2023;12;285;Kfz;40064.0
2023;12;285;Kfz > 3,5t hzG;4059.0
2023;12;285;Kfz <= 3,5t hzG;36005.0
2023;12;314;Kfz;32032.0
2023;12;314;Kfz > 3,5t hzG;3873.0
2023;12;314;Kfz <= 3,5t hzG;28159.0
2023;12;297;Kfz;31158.0
2023;12;297;Kfz > 3,5t hzG;3721.0
2023;12;297;Kfz <= 3,5t hzG;27437.0
2023;12;303;Kfz;31737.0
2023;12;303;Kfz > 3,5t hzG;3612.0
2023;12;303;Kfz <= 3,5t hzG;28125.0
2023;12;309;Kfz;26377.0
2023;12;309;Kfz > 3,5t hzG;3564.0
2023;12;309;Kfz <= 3,5t hzG;22813.0
2023;12;317;Kfz;29385.0
2023;12;317;Kfz > 3,5t hzG;3699.0
2023;12;317;Kfz <= 3,5t hzG;25686.0
2023;12;631;Kfz;26349.0
2023;12;631;Kfz > 3,5t hzG;3567.0
2023;12;631;Kfz <= 3,5t hzG;22782.0
2023;12;323;Kfz > 3,5t hzG;3405.0
2023;12;330;Kfz > 3,5t hzG;3531.0
2023;12;336;Kfz;16256.0
2023;12;336;Kfz > 3,5t hzG;2960.0
2023;12;336;Kfz <= 3,5t hzG;13296.0
2023;12;639;Kfz;15833.0
2023;12;639;Kfz > 3,5t hzG;2953.0
2023;12;639;Kfz <= 3,5t hzG;12880.0
2023;12;605;Kfz;16729.0
2023;12;605;Kfz > 3,5t hzG;2880.0
2023;12;605;Kfz <= 3,5t hzG;13849.0
2023;12;570;Kfz;19691.0
2023;12;570;Kfz > 3,5t hzG;2961.0
2023;12;570;Kfz <= 3,5t hzG;16730.0
2023;12;613;Kfz;23857.0
2023;12;613;Kfz > 3,5t hzG;3243.0
2023;12;613;Kfz <= 3,5t hzG;20614.0
2023;12;623;Kfz;23031.0
2023;12;623;Kfz > 3,5t hzG;3113.0
2023;12;623;Kfz <= 3,5t hzG;19918.0
2023;12;342;Kfz;14269.0
2023;12;342;Kfz > 3,5t hzG;897.0
2023;12;342;Kfz <= 3,5t hzG;13372.0
2023;12;630;Kfz;8912.0
2023;12;630;Kfz > 3,5t hzG;762.0
2023;12;630;Kfz <= 3,5t hzG;8150.0
2023;12;70;Kfz;13824.0
2023;12;70;Kfz > 3,5t hzG;1497.0
2023;12;70;Kfz <= 3,5t hzG;12327.0
2023;12;632;Kfz;11692.0
2023;12;632;Kfz > 3,5t hzG;1411.0
